Date UTC,Time UTC,Date Local (America/Los_Angeles),Time Local (America/Los_Angeles),Value (psi)
2019-12-16,08:09:01,2019-12-16,00:09:01,125.2038273285
2019-12-16,08:09:02,2019-12-16,00:09:02,125.12551013684435
2019-12-16,08:09:03,2019-12-16,00:09:03,125.07474161710375
2019-12-16,08:09:04,2019-12-16,00:09:04,125.0442893576604
2019-12-16,08:09:05,2019-12-16,00:09:05,125.05008768031604
2019-12-16,08:09:06,2019-12-16,00:09:06,125.07184688197644
2019-12-16,08:09:07,2019-12-16,00:09:07,124.94421296434436
2019-12-16,08:09:08,2019-12-16,00:09:08,124.86443512652356
2019-12-16,08:09:09,2019-12-16,00:09:09,124.8702423015802
2019-12-16,08:09:10,2019-12-16,00:09:10,124.8557332163396
2019-12-16,08:09:11,2019-12-16,00:09:11,124.71505085963209
2019-12-16,08:09:12,2019-12-16,00:09:12,124.70489715568397
2019-12-16,08:09:13,2019-12-16,00:09:13,124.75856041055188
2019-12-16,08:09:14,2019-12-16,00:09:14,124.63528187421228
2019-12-16,08:09:15,2019-12-16,00:09:15,124.65703222347167
2019-12-16,08:09:16,2019-12-16,00:09:16,124.6309264929198
2019-12-16,08:09:17,2019-12-16,00:09:17,124.75710861678772
2019-12-16,08:09:18,2019-12-16,00:09:18,124.86443512652356
2019-12-16,08:09:19,2019-12-16,00:09:19,124.88764612194812
2019-12-16,08:09:20,2019-12-16,00:09:20,124.87169409534437
2019-12-16,08:09:21,2019-12-16,00:09:21,124.82817569202356
2019-12-16,08:09:22,2019-12-16,00:09:22,124.804973549
2019-12-16,08:09:23,2019-12-16,00:09:23,124.7687141145
2019-12-16,08:09:24,2019-12-16,00:09:24,124.73245468
2019-12-16,08:09:25,2019-12-16,00:09:25,124.7397047964198
2019-12-16,08:09:26,2019-12-16,00:09:26,124.70780074321227
2019-12-16,08:09:27,2019-12-16,00:09:27,124.74840670660376
2019-12-16,08:09:28,2019-12-16,00:09:28,124.80932893029248
2019-12-16,08:09:29,2019-12-16,00:09:29,124.74115659018396
2019-12-16,08:09:30,2019-12-16,00:09:30,124.77451243715564
2019-12-16,08:09:31,2019-12-16,00:09:31,124.6381766093396
2019-12-16,08:09:32,2019-12-16,00:09:32,124.63237828668396
2019-12-16,08:09:33,2019-12-16,00:09:33,124.55695583015564
2019-12-16,08:09:34,2019-12-16,00:09:34,124.36406201234436
2019-12-16,08:09:35,2019-12-16,00:09:35,124.29879325976415
2019-12-16,08:09:36,2019-12-16,00:09:36,124.26978394168395
2019-12-16,08:09:37,2019-12-16,00:09:37,124.31039875747643
2019-12-16,08:09:38,2019-12-16,00:09:38,124.1450536115802
2019-12-16,08:09:39,2019-12-16,00:09:39,124.2175724805802
2019-12-16,08:09:40,2019-12-16,00:09:40,124.15810205065564
2019-12-16,08:09:41,2019-12-16,00:09:41,124.17550587102356
2019-12-16,08:09:42,2019-12-16,00:09:42,124.14215002405187
2019-12-16,08:09:43,2019-12-16,00:09:43,124.06238103863208
2019-12-16,08:09:44,2019-12-16,00:09:44,124.14794834670752
2019-12-16,08:09:45,2019-12-16,00:09:45,124.1378034951604
2019-12-16,08:09:46,2019-12-16,00:09:46,124.07833306523584
2019-12-16,08:09:47,2019-12-16,00:09:47,124.10443879578771
2019-12-16,08:09:48,2019-12-16,00:09:48,124.20162045397645
2019-12-16,08:09:49,2019-12-16,00:09:49,124.14940014047168
2019-12-16,08:09:50,2019-12-16,00:09:50,124.12910158497644
2019-12-16,08:09:51,2019-12-16,00:09:51,124.1232944099198
2019-12-16,08:09:52,2019-12-16,00:09:52,124.10298700202355
2019-12-16,08:09:53,2019-12-16,00:09:53,124.0942850918396
2019-12-16,08:09:54,2019-12-16,00:09:54,124.1813130460802
2019-12-16,08:09:55,2019-12-16,00:09:55,124.15520731552832
2019-12-16,08:09:56,2019-12-16,00:09:56,124.19726507268396
2019-12-16,08:09:57,2019-12-16,00:09:57,124.19291854379247
2019-12-16,08:09:58,2019-12-16,00:09:58,124.27413932297644
2019-12-16,08:09:59,2019-12-16,00:09:59,124.28573596828772
2019-12-16,08:10:00,2019-12-16,00:10:00,124.2320727134198
2019-12-16,08:10:01,2019-12-16,00:10:01,124.12764979121228
2019-12-16,08:10:02,2019-12-16,00:10:02,124.17115934213209
2019-12-16,08:10:03,2019-12-16,00:10:03,124.1958132789198
2019-12-16,08:10:04,2019-12-16,00:10:04,124.08848676918396
2019-12-16,08:10:05,2019-12-16,00:10:05,124.16536101947644
2019-12-16,08:10:06,2019-12-16,00:10:06,124.1668039608396
2019-12-16,08:10:07,2019-12-16,00:10:07,124.1378034951604
2019-12-16,08:10:08,2019-12-16,00:10:08,124.17261113589623
2019-12-16,08:10:09,2019-12-16,00:10:09,124.22917797829248
2019-12-16,08:10:10,2019-12-16,00:10:10,124.17261113589623
2019-12-16,08:10:11,2019-12-16,00:10:11,124.30024505352831
2019-12-16,08:10:12,2019-12-16,00:10:12,124.36840854123584
2019-12-16,08:10:13,2019-12-16,00:10:13,124.37421571629248
2019-12-16,08:10:14,2019-12-16,00:10:14,124.3481011333396
2019-12-16,08:10:15,2019-12-16,00:10:15,124.32489899031604
2019-12-16,08:10:16,2019-12-16,00:10:16,124.22772618452832
2019-12-16,08:10:17,2019-12-16,00:10:17,124.25528370884436
2019-12-16,08:10:18,2019-12-16,00:10:18,124.3408510169198
2019-12-16,08:10:19,2019-12-16,00:10:19,124.25817844397167
2019-12-16,08:10:20,2019-12-16,00:10:20,124.37131212876416
2019-12-16,08:10:21,2019-12-16,00:10:21,124.39741785931604
2019-12-16,08:10:22,2019-12-16,00:10:22,124.37421571629248
2019-12-16,08:10:23,2019-12-16,00:10:23,124.41047515079248
2019-12-16,08:10:24,2019-12-16,00:10:24,124.42207179610376
2019-12-16,08:10:25,2019-12-16,00:10:25,124.42207179610376
2019-12-16,08:10:26,2019-12-16,00:10:26,124.47428325720752
2019-12-16,08:10:27,2019-12-16,00:10:27,124.46703314078772
2019-12-16,08:10:28,2019-12-16,00:10:28,124.56421479897644
2019-12-16,08:10:29,2019-12-16,00:10:29,124.59177232329247
2019-12-16,08:10:30,2019-12-16,00:10:30,124.54825391997169
2019-12-16,08:10:31,2019-12-16,00:10:31,124.55551288879248
2019-12-16,08:10:32,2019-12-16,00:10:32,124.57871503181605
2019-12-16,08:10:33,2019-12-16,00:10:33,124.65413748834436
2019-12-16,08:10:34,2019-12-16,00:10:34,124.62512817026416
2019-12-16,08:10:35,2019-12-16,00:10:35,124.6164262600802
2019-12-16,08:10:36,2019-12-16,00:10:36,124.67299310247644
2019-12-16,08:10:37,2019-12-16,00:10:37,124.67008951494812
2019-12-16,08:10:38,2019-12-16,00:10:38,124.68313795402356
2019-12-16,08:10:39,2019-12-16,00:10:39,124.69183986420752
2019-12-16,08:10:40,2019-12-16,00:10:40,124.67588783760375
2019-12-16,08:10:41,2019-12-16,00:10:41,124.76001220431604
2019-12-16,08:10:42,2019-12-16,00:10:42,124.75856041055188
2019-12-16,08:10:43,2019-12-16,00:10:43,124.75131029413208
2019-12-16,08:10:44,2019-12-16,00:10:44,124.7106954783396
2019-12-16,08:10:45,2019-12-16,00:10:45,124.58596514823584
2019-12-16,08:10:46,2019-12-16,00:10:46,124.65413748834436
2019-12-16,08:10:47,2019-12-16,00:10:47,124.70925253697644
2019-12-16,08:10:48,2019-12-16,00:10:48,124.73535826752833
2019-12-16,08:10:49,2019-12-16,00:10:49,124.71650265339623
2019-12-16,08:10:50,2019-12-16,00:10:50,124.70925253697644
2019-12-16,08:10:51,2019-12-16,00:10:51,124.76726232073584
2019-12-16,08:10:52,2019-12-16,00:10:52,124.73390647376416
2019-12-16,08:10:53,2019-12-16,00:10:53,124.73245468
2019-12-16,08:10:54,2019-12-16,00:10:54,124.74840670660376
2019-12-16,08:10:55,2019-12-16,00:10:55,124.74260838394812
2019-12-16,08:10:56,2019-12-16,00:10:56,124.66429119229248
2019-12-16,08:10:57,2019-12-16,00:10:57,124.68313795402356
2019-12-16,08:10:58,2019-12-16,00:10:58,124.68313795402356
