Date UTC,Time UTC,Date Local (America/Los_Angeles),Time Local (America/Los_Angeles),Value (psi)
2020-03-25,20:22:55,2020-03-25,13:22:55,148.72315187992456
2020-03-25,20:22:56,2020-03-25,13:22:56,148.65063301092457
2020-03-25,20:22:57,2020-03-25,13:22:57,148.58535540594335
2020-03-25,20:22:58,2020-03-25,13:22:58,148.51284538934436
2020-03-25,20:22:59,2020-03-25,13:22:59,148.446124843
2020-03-25,20:23:00,2020-03-25,13:23:00,148.3373465395
2020-03-25,20:23:01,2020-03-25,13:23:01,148.22566464847168
2020-03-25,20:23:02,2020-03-25,13:23:02,148.23147182352832
2020-03-25,20:23:03,2020-03-25,13:23:03,148.15895295452833
2020-03-25,20:23:04,2020-03-25,13:23:04,148.12849184268396
2020-03-25,20:23:05,2020-03-25,13:23:05,148.0864340855283
2020-03-25,20:23:06,2020-03-25,13:23:06,148.01971353918395
2020-03-25,20:23:07,2020-03-25,13:23:07,147.98490589844812
2020-03-25,20:23:08,2020-03-25,13:23:08,147.96169490302356
2020-03-25,20:23:09,2020-03-25,13:23:09,147.87467580118397
2020-03-25,20:23:10,2020-03-25,13:23:10,147.87467580118397
2020-03-25,20:23:11,2020-03-25,13:23:11,147.78475311181603
2020-03-25,20:23:12,2020-03-25,13:23:12,147.8007051384198
2020-03-25,20:23:13,2020-03-25,13:23:13,147.73399344447645
2020-03-25,20:23:14,2020-03-25,13:23:14,147.6817731309717
2020-03-25,20:23:15,2020-03-25,13:23:15,147.6194079659198
2020-03-25,20:23:16,2020-03-25,13:23:16,147.5729948274717
2020-03-25,20:23:17,2020-03-25,13:23:17,147.5613981821604
2020-03-25,20:23:18,2020-03-25,13:23:18,147.5062831335283
2020-03-25,20:23:19,2020-03-25,13:23:19,147.52803348278772
2020-03-25,20:23:20,2020-03-25,13:23:20,147.49467763581603
2020-03-25,20:23:21,2020-03-25,13:23:21,147.43956258718396
2020-03-25,20:23:22,2020-03-25,13:23:22,147.39314944873584
2020-03-25,20:23:23,2020-03-25,13:23:23,147.33513966497645
2020-03-25,20:23:24,2020-03-25,13:23:24,147.34963989781605
2020-03-25,20:23:25,2020-03-25,13:23:25,147.29888023047644
2020-03-25,20:23:26,2020-03-25,13:23:26,147.26841911863207
2020-03-25,20:23:27,2020-03-25,13:23:27,147.20024677852356
2020-03-25,20:23:28,2020-03-25,13:23:28,147.2060539535802
2020-03-25,20:23:29,2020-03-25,13:23:29,147.17849642926416
